,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
11804,0.2509402077899394,4,0.7693733121571308,1.133702193534905,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.6802869429040802,39,<=50K
16461,1.4237335749914803,4,0.4625906995112718,-0.03127721644841584,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,0.13068371171551546,39,<=50K
2209,0.7640373059406136,2,-1.3035070917413256,-0.4196036864428561,6,11,1,2,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
13609,1.130535233191095,4,-0.13158857869382007,-1.5845830964261771,2,14,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
28175,-1.4349502575622755,0,-1.4282803688233852,-0.4196036864428561,4,0,3,4,1,-0.14571521360410045,-0.2179980768942208,1.5904308900307877,39,<=50K
2386,-0.4087560612609273,6,1.1621668106270355,1.133702193534905,2,12,0,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,>50K
21582,-0.2621568903607347,4,-0.033984136278752755,-0.4196036864428561,2,14,0,4,1,1.9321028750370441,-0.2179980768942208,3.212372199269979,39,>50K
748,-0.7019544030613125,4,0.7343360636726256,-1.1962566264317367,4,3,3,2,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,14,<=50K
11146,-0.7019544030613125,1,1.4182418675600332,0.35704925354602446,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
22713,1.6436323313417691,4,-0.2600204781427184,1.133702193534905,2,12,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
4825,0.6174381350404209,4,-0.20457096772582442,-0.03127721644841584,2,1,0,4,1,-0.14571521360410045,-0.2179980768942208,0.2928778426394346,39,>50K
27984,-1.1417519157618903,4,1.4328858599426268,1.133702193534905,4,4,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.19370455013232282,39,<=50K
24498,1.2771344040912875,4,0.0945903068987237,-1.9729095664206173,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
11807,0.10434103688974683,2,-1.3974624147047927,-0.03127721644841584,2,1,5,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
5937,2.376628185842732,4,-0.25063159788703865,-0.03127721644841584,6,12,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,>50K
29726,-0.2621568903607347,4,-1.4062621142156828,-0.8079301564372964,4,5,1,4,1,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
16178,1.2771344040912875,4,-0.8393276939994916,-0.4196036864428561,0,1,2,0,0,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,<=50K
1261,1.0572356477409988,4,-0.9524313911686213,-0.4196036864428561,2,14,0,4,1,-0.14571521360410045,-0.2179980768942208,0.6172661044872729,39,>50K
2359,-1.3616506721121793,0,-0.6504382478029876,-1.5845830964261771,4,0,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
1599,-1.068452330311794,4,0.25059016345463303,1.133702193534905,4,12,1,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
14170,0.7640373059406136,4,-1.5296669715033924,-0.03127721644841584,0,8,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
21078,-0.7019544030613125,4,-0.24440718840579348,-0.4196036864428561,2,8,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
476,-1.581549428462468,4,0.21011724745368165,-1.9729095664206173,4,8,1,4,1,-0.14571521360410045,-0.2179980768942208,-2.788810644915029,39,<=50K
14221,0.5441385495903246,4,-0.027930779271801348,-0.03127721644841584,2,8,5,4,0,0.5475823155730867,-0.2179980768942208,-0.03151041920840369,39,<=50K
10290,1.130535233191095,4,2.202793046738842,1.5220286635293454,2,4,0,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,>50K
18846,-0.4087560612609273,0,-0.8327326708239433,-0.03127721644841584,4,0,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
17305,0.9839360622909025,4,-0.18981294036036833,-0.03127721644841584,4,4,1,4,0,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
4048,0.9106364768408062,6,0.48083629676927286,-0.03127721644841584,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
10045,-1.3616506721121793,4,-1.2680422120710861,-0.03127721644841584,4,8,3,4,1,0.15522542543231668,-0.2179980768942208,-1.2479664011377973,39,<=50K
27941,-1.4349502575622755,4,0.8396378674309121,-0.03127721644841584,4,8,3,4,1,-0.14571521360410045,-0.2179980768942208,-2.3022282521432715,39,<=50K
11275,-0.7019544030613125,4,0.10613634891355252,-0.4196036864428561,2,4,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
20946,-0.11555771946054208,4,2.1147485370537478,-0.4196036864428561,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,26,>50K
259,0.8373368913907099,4,0.14025181461991915,-2.3612360364150575,0,3,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
30329,-0.7019544030613125,4,1.7028256702086575,-0.03127721644841584,2,6,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,0,>50K
20512,0.397539378690132,4,-0.367479443660154,1.133702193534905,2,10,0,4,1,-0.14571521360410045,4.494331319733491,0.779460235411192,39,>50K
16472,-1.1417519157618903,4,2.589875293150383,0.7453757235404648,4,8,3,2,1,-0.14571521360410045,-0.2179980768942208,0.2928778426394346,39,<=50K
5815,0.47083896414022836,6,-1.1597659958431359,-0.03127721644841584,2,4,0,4,1,-0.14571521360410045,-0.2179980768942208,1.5904308900307877,39,<=50K
30607,-0.2621568903607347,4,-0.5785676998538927,-0.03127721644841584,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
23261,0.9106364768408062,4,-0.14988169052801387,-1.9729095664206173,2,12,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
5045,0.6907377204905172,6,-0.652234298783072,-0.03127721644841584,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,>50K
28934,-0.04225813401044578,4,-1.199744760251683,0.35704925354602446,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
13764,-1.2150515012119867,4,-0.02572610293645955,-0.4196036864428561,4,1,3,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
11012,0.47083896414022836,4,0.0033813264391953195,0.7453757235404648,0,4,4,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
6428,-1.4349502575622755,4,-0.6441758266607883,-0.4196036864428561,4,8,3,2,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
3537,3.109624040343695,6,-0.5011949639816818,-0.4196036864428561,6,1,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
8477,-1.068452330311794,4,-0.1093232482899156,-0.03127721644841584,2,9,5,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,0,<=50K
11919,0.397539378690132,4,0.6461870219199078,2.298681603518226,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
23404,0.6174381350404209,5,1.5299676420195742,-0.4196036864428561,2,4,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
18364,-0.6286548176112162,6,-0.4143098099556901,-0.4196036864428561,2,4,0,4,1,-0.14571521360410045,4.457167838687532,0.779460235411192,39,>50K
9570,-1.2150515012119867,4,0.2110485331470588,1.133702193534905,4,1,3,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
17546,0.7640373059406136,4,-0.699568319586251,-0.4196036864428561,2,7,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
26138,0.9106364768408062,2,-0.6313183823430406,1.9103551335237856,6,10,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
32238,0.6174381350404209,4,0.9992678376079446,1.9103551335237856,2,4,0,4,1,13.684139089246393,-0.2179980768942208,-0.03151041920840369,39,>50K
23176,-1.5082498430123719,0,-1.0603179878717914,-0.4196036864428561,4,0,3,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
2701,-0.335456475810831,4,-0.9225162139976903,-0.4196036864428561,4,1,1,4,0,0.5271139265209774,-0.2179980768942208,-0.03151041920840369,39,<=50K
24461,0.7640373059406136,0,2.777016202942995,-0.4196036864428561,2,0,0,4,1,-0.14571521360410045,-0.2179980768942208,1.5904308900307877,39,<=50K
27565,0.10434103688974683,5,2.7136792728781107,1.133702193534905,5,3,3,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
10227,-0.335456475810831,7,-0.6866443548618335,1.133702193534905,2,1,0,4,1,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,22,<=50K
4455,0.6907377204905172,6,0.2221859498066303,-2.3612360364150575,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,22,<=50K
14375,-0.9951527448616977,1,1.6767686766245748,-0.4196036864428561,4,14,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
18560,3.036324454893599,0,-0.1609145751199614,-0.4196036864428561,2,0,0,4,1,-0.14571521360410045,-0.2179980768942208,-2.62661651399111,39,<=50K
8054,0.2509402077899394,4,-0.544309690418948,0.7453757235404648,0,10,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.3290634665997567,39,<=50K
13617,0.7640373059406136,4,-0.1581682326160227,-1.5845830964261771,5,4,1,2,1,0.4650172597345108,-0.2179980768942208,4.753216443047211,39,<=50K
26913,-0.9951527448616977,2,-0.7624491097196849,-0.4196036864428561,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.19370455013232282,39,<=50K
30038,-0.7752539885114088,4,-0.7039966780874116,0.7453757235404648,4,1,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.6802869429040802,39,<=50K
547,-0.2621568903607347,2,0.4140212997270824,-0.03127721644841584,2,11,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
19011,1.9368306731421543,6,-0.5544207922327569,-2.749562506409498,2,5,0,4,1,0.10280975346779365,-0.2179980768942208,-1.5723546629856355,39,<=50K
19058,0.6907377204905172,0,-1.2001533856069404,-0.4196036864428561,3,0,4,4,0,-0.14571521360410045,-0.2179980768942208,-0.6802869429040802,39,<=50K
21211,-1.4349502575622755,4,-0.23048541758132912,-0.03127721644841584,4,12,3,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
18721,-1.5082498430123719,4,-0.8322385192315391,-0.8079301564372964,4,9,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
24544,-0.9218531594116014,4,-0.053588650415865385,1.133702193534905,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
14492,-1.2150515012119867,4,-0.7780719023718484,-0.4196036864428561,4,10,3,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
6939,-1.2883510866620829,4,-0.6934389392573912,-0.4196036864428561,4,3,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
10439,-1.5082498430123719,4,-0.3231673499028315,-0.4196036864428561,4,7,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
13177,-1.3616506721121793,0,-1.245064163024291,-0.03127721644841584,4,0,3,4,1,-0.14571521360410045,-0.2179980768942208,-2.058937055757393,39,<=50K
30074,-0.6286548176112162,1,-1.3427731375069822,-0.03127721644841584,4,1,3,2,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
26481,0.6907377204905172,4,0.7168316938032308,-0.4196036864428561,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,<=50K
24349,0.47083896414022836,4,-0.04107331104670526,0.7453757235404648,0,3,1,4,0,-0.14571521360410045,-0.2179980768942208,1.18494556272099,39,<=50K
8557,-0.11555771946054208,4,-0.7661837554084321,-0.4196036864428561,2,7,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,32,<=50K
2619,0.10434103688974683,5,-1.075104523982963,-0.4196036864428561,2,6,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
3504,-0.5553552321611199,4,-0.6585347315862256,1.133702193534905,4,4,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
24598,-0.4820556467110236,4,1.3155818742380614,0.35704925354602446,4,13,1,4,0,-0.14571521360410045,-0.2179980768942208,1.914819151878626,39,<=50K
14815,-0.18885730491063837,6,-0.035390567734057,1.9103551335237856,2,12,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,>50K
30705,-0.2621568903607347,4,-1.4218659010373693,-0.4196036864428561,4,8,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
8846,-1.1417519157618903,4,1.6483739658918106,-0.03127721644841584,4,9,1,4,0,-0.14571521360410045,-0.2179980768942208,-2.788810644915029,39,<=50K
26058,-0.9218531594116014,4,-0.009428603302359615,-0.4196036864428561,4,6,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
1796,-0.4820556467110236,4,-1.465009136220351,1.133702193534905,4,1,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
32200,-0.9951527448616977,4,-0.11150891879478031,1.5220286635293454,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
19260,-0.7019544030613125,4,-1.2812512642526597,-0.4196036864428561,2,7,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
16308,-0.9951527448616977,4,-0.761660367754886,-0.03127721644841584,4,8,1,4,1,-0.14571521360410045,-0.2179980768942208,-1.2479664011377973,39,<=50K
14353,-0.8485535739615051,4,0.7179910494623329,-0.4196036864428561,2,14,0,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,>50K
11291,-0.7752539885114088,4,-0.7049279637807888,0.35704925354602446,4,13,3,4,0,-0.14571521360410045,-0.2179980768942208,-0.19370455013232282,39,<=50K
15102,2.7431261130932136,2,-0.1960088410958979,-0.03127721644841584,6,1,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
10556,2.81642569854331,4,-0.019986342132380038,-0.03127721644841584,6,9,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
32056,1.0572356477409988,4,-0.3149948427976852,-0.8079301564372964,0,14,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
7174,-0.7752539885114088,4,-0.7825477754492017,1.133702193534905,4,10,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,<=50K
8135,-1.1417519157618903,4,-1.0145424451677334,-0.03127721644841584,4,12,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
8688,-0.04225813401044578,4,1.5677892446689723,0.35704925354602446,2,10,0,1,1,-0.14571521360410045,-0.2179980768942208,-0.35589868105624195,30,>50K
4685,-0.335456475810831,0,1.2112398649188676,-0.03127721644841584,2,0,5,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,>50K
20052,-0.2621568903607347,4,-0.9712281575104579,1.5220286635293454,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,>50K
6505,-0.11555771946054208,4,-0.4002740041483632,1.133702193534905,5,8,4,1,0,-0.14571521360410045,-0.2179980768942208,-0.35589868105624195,30,<=50K
12594,0.397539378690132,7,-0.3381439443187741,-0.03127721644841584,0,1,1,2,0,-0.14571521360410045,3.721330913977526,-0.03151041920840369,39,<=50K
20477,-0.335456475810831,4,0.22300320051714495,1.133702193534905,4,12,1,4,1,-0.14571521360410045,-0.2179980768942208,1.9959162173405856,39,>50K
11815,-0.6286548176112162,4,0.07722848075790703,-0.03127721644841584,4,12,1,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,>50K
15306,-1.1417519157618903,4,-1.3248791481128073,1.5220286635293454,4,12,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
4097,0.10434103688974683,2,0.5204064358225627,1.5220286635293454,2,10,0,4,1,-0.14571521360410045,4.494331319733491,0.6172661044872729,39,>50K
26053,-0.2621568903607347,4,1.3390065603010681,-0.4196036864428561,0,14,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
3418,0.5441385495903246,7,0.028697092634671836,1.133702193534905,2,4,0,4,1,0.9175346176973586,-0.2179980768942208,-0.03151041920840369,39,>50K
17147,0.397539378690132,4,-0.13129398832142525,1.133702193534905,2,10,5,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
23179,-0.5553552321611199,4,3.0554706252627595,-0.4196036864428561,4,5,1,4,1,0.25632267135861303,-0.2179980768942208,4.753216443047211,39,<=50K
18692,-1.3616506721121793,4,-0.6891056099086159,-0.4196036864428561,4,7,4,4,0,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,<=50K
9687,-0.11555771946054208,4,0.133694803105325,-1.9729095664206173,2,14,0,4,1,-0.14571521360410045,-0.2179980768942208,1.9959162173405856,39,<=50K
31790,-1.1417519157618903,0,2.4645033324082948,-0.4196036864428561,2,0,3,4,0,-0.14571521360410045,-0.2179980768942208,-0.8424810738279994,39,<=50K
2740,-0.04225813401044578,4,0.4431382320179758,1.133702193534905,2,4,0,4,1,0.9175346176973586,-0.2179980768942208,-0.03151041920840369,39,>50K
17829,-1.1417519157618903,4,-0.8238569479911448,1.133702193534905,4,13,1,4,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
10959,-1.3616506721121793,0,0.9819535260433206,-0.4196036864428561,4,0,3,4,1,-0.14571521360410045,-0.2179980768942208,-2.3022282521432715,39,<=50K
6690,1.570332745891673,4,0.08862247612891917,-1.5845830964261771,2,7,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
7294,1.0572356477409988,4,-0.4596672243892522,-0.4196036864428561,2,14,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
21064,0.2509402077899394,4,0.5017997277854971,-2.3612360364150575,4,6,1,2,1,-0.14571521360410045,5.245033636861881,-0.03151041920840369,39,<=50K
7516,-0.7019544030613125,1,0.37575306006147285,1.133702193534905,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,0.6172661044872729,39,<=50K
16594,1.4970331604415765,6,-0.8866237031417163,-2.3612360364150575,2,3,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
30551,0.47083896414022836,4,0.937726958523145,-0.4196036864428561,2,14,0,3,1,0.41633568577273744,-0.2179980768942208,-0.03151041920840369,39,<=50K
22681,0.6174381350404209,2,0.1389119035712847,-0.03127721644841584,4,8,3,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
9733,2.2300290149425397,4,-0.825662501886468,-0.4196036864428561,6,1,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.3290634665997567,39,<=50K
10718,-0.2621568903607347,0,-0.43321110836515064,0.7453757235404648,2,0,5,4,0,-0.14571521360410045,-0.2179980768942208,-1.9778399902954333,39,<=50K
25922,-0.4820556467110236,4,1.802254672349525,-0.03127721644841584,4,3,3,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
14545,-0.04225813401044578,2,0.27011865426983733,-2.749562506409498,2,6,2,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,26,<=50K
14637,-0.5553552321611199,2,0.3490878799021233,1.133702193534905,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,39,<=50K
12623,-0.9951527448616977,4,0.599100076912931,-0.4196036864428561,4,8,4,2,0,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
6186,0.3242397932400357,4,-0.25224709347759083,1.133702193534905,2,8,5,4,0,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,0,>50K
15459,-1.2150515012119867,4,-0.12006154250946832,-0.03127721644841584,4,1,1,4,1,-0.14571521360410045,-0.2179980768942208,0.779460235411192,39,<=50K
29638,-0.4820556467110236,4,0.04980306737947414,1.133702193534905,2,4,0,4,1,0.8635976465465302,-0.2179980768942208,0.37397490810139417,39,>50K
5707,0.397539378690132,2,-0.2589846603817173,1.5220286635293454,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.43699574651820156,39,<=50K
9103,2.0101302585922505,6,-0.14226985542194154,-0.03127721644841584,4,12,1,4,0,-0.14571521360410045,-0.2179980768942208,-1.6534517284475951,39,<=50K
21366,-0.7752539885114088,4,0.006004131045032977,1.133702193534905,4,12,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
25403,0.2509402077899394,4,0.054630548320653595,-1.1962566264317367,2,14,0,2,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
21832,-0.18885730491063837,4,-1.1796460945221663,1.133702193534905,4,10,1,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,<=50K
12619,0.10434103688974683,4,2.076100180778597,-3.1378889764039384,4,8,1,4,1,-0.14571521360410045,-0.2179980768942208,0.37397490810139417,8,<=50K
25509,1.7169319167918655,4,0.22390597746480645,-0.4196036864428561,2,10,0,4,1,-0.14571521360410045,-0.2179980768942208,-0.03151041920840369,39,>50K
24675,0.6174381350404209,5,0.16333439573433825,0.7453757235404648,6,4,1,4,0,-0.14571521360410045,-0.2179980768942208,2.1581103482645045,39,<=50K
2864,-0.7019544030613125,4,0.8365304141479087,-0.03127721644841584,2,12,5,4,0,-0.14571521360410045,-0.2179980768942208,-1.2479664011377973,39,<=50K
